H_NIVO.NUM_POSTE;H_NIVO.ALTI_LPNX;H_NIVO.DAT
5110400;1400;2022-03-13 12:00:00
5110400;1200;2022-03-14 06:00:00
5110400;1800;2022-03-15 06:00:00
5110400;1600;2022-03-30 06:00:00
5110400;1900;2022-03-30 12:00:00
5110400;2100;2022-03-31 06:00:00
5110400;1800;2022-04-01 06:00:00
5110400;1400;2022-04-02 06:00:00
5110400;1600;2022-04-04 06:00:00
5110400;1800;2022-04-07 06:00:00
5110400;2000;2022-04-07 12:00:00
5110400;1900;2022-04-08 06:00:00
5110400;2300;2022-04-08 12:00:00
5110400;1800;2022-04-09 06:00:00
5114402;2100;2021-12-24 06:00:00
5114402;1800;2021-12-25 06:00:00
5114402;2100;2021-12-26 06:00:00
5114402;1500;2021-12-28 06:00:00
5114402;2400;2021-12-29 06:00:00
5114402;2400;2021-12-30 06:00:00
5114402;2100;2022-01-05 06:00:00
5114402;1200;2022-01-06 06:00:00
5114402;1200;2022-01-08 06:00:00
5114402;1200;2022-01-09 06:00:00
5114402;1500;2022-02-11 06:00:00
5114402;1600;2022-02-14 06:00:00
5114402;1000;2022-02-15 06:00:00
5114402;1200;2022-02-21 06:00:00
5114402;1200;2022-02-28 06:00:00
5114402;1600;2022-03-14 06:00:00
5114402;2100;2022-03-15 06:00:00
5119402;1850;2021-12-27 06:00:00
5119402;1200;2021-12-28 06:00:00
5119402;2100;2021-12-29 06:00:00
5119402;2500;2021-12-30 06:00:00
5119402;1000;2022-01-08 06:00:00
5119402;1850;2022-01-09 06:00:00
5119402;1850;2022-01-10 06:00:00
5119402;1200;2022-02-14 06:00:00
5119402;1000;2022-02-15 06:00:00
5119402;1850;2022-02-21 06:00:00
5119402;1200;2022-02-22 06:00:00
5119402;1850;2022-03-06 06:00:00
5119402;1850;2022-03-13 06:00:00
5119402;1200;2022-03-14 06:00:00
5119402;1850;2022-03-20 06:00:00
5119402;1600;2022-04-01 06:00:00
5119402;1200;2022-04-02 06:00:00
5119402;2010;2022-04-08 06:00:00
5133400;1900;2021-12-24 12:00:00
5133400;1900;2021-12-25 06:00:00
5133400;1350;2021-12-25 12:00:00
5133400;1900;2021-12-26 06:00:00
5133400;1350;2021-12-27 12:00:00
5133400;1200;2021-12-28 06:00:00
5133400;1800;2021-12-28 12:00:00
5133400;2200;2021-12-29 06:00:00
5133400;2400;2021-12-29 12:00:00
5133400;2400;2021-12-30 06:00:00
5133400;1350;2022-01-05 06:00:00
5133400;1200;2022-01-08 06:00:00
5133400;1200;2022-01-08 12:00:00
5133400;1200;2022-01-09 12:00:00
5133400;1200;2022-01-10 06:00:00
5133400;1200;2022-02-01 06:00:00
5133400;1200;2022-02-07 06:00:00
5133400;1200;2022-02-14 06:00:00
5133400;1350;2022-02-14 12:00:00
5133400;1200;2022-02-15 06:00:00
5133400;1800;2022-02-16 12:00:00
5133400;1800;2022-02-17 06:00:00
5133400;1200;2022-02-21 06:00:00
5133400;1200;2022-02-21 12:00:00
5133400;1200;2022-02-22 06:00:00
5133400;1350;2022-03-12 06:00:00
5133400;1200;2022-03-13 06:00:00
5133400;1200;2022-03-13 12:00:00
5133400;1200;2022-03-14 06:00:00
5133400;1900;2022-03-30 06:00:00
5133400;1900;2022-03-30 12:00:00
5133400;1350;2022-04-01 06:00:00
5133400;1200;2022-04-02 06:00:00
5133400;1900;2022-04-04 06:00:00
5133400;2000;2022-04-08 06:00:00
5133400;2200;2022-04-08 12:00:00
5133400;2000;2022-04-09 06:00:00
5133400;1350;2022-04-10 06:00:00
5133400;1900;2022-04-23 06:00:00
5133400;1900;2022-04-24 06:00:00
5139405;2000;2021-12-25 06:00:00
5139405;1700;2021-12-25 12:00:00
5139405;1700;2021-12-27 06:00:00
5139405;1400;2021-12-27 12:00:00
5139405;2500;2021-12-28 06:00:00
5139405;2500;2021-12-29 06:00:00
5139405;2500;2021-12-29 12:00:00
5139405;2500;2021-12-30 06:00:00
5139405;1500;2022-01-06 06:00:00
5139405;1500;2022-01-08 06:00:00
5139405;1500;2022-01-08 12:00:00
5139405;1500;2022-01-09 06:00:00
5139405;1500;2022-01-10 06:00:00
5139405;1500;2022-01-20 06:00:00
5139405;1500;2022-02-01 06:00:00
5139405;1500;2022-02-07 06:00:00
5139405;1500;2022-02-14 06:00:00
5139405;1500;2022-02-14 12:00:00
5139405;1500;2022-02-15 06:00:00
5139405;1500;2022-02-16 06:00:00
5139405;1500;2022-02-16 12:00:00
5139405;2300;2022-02-17 06:00:00
5139405;1500;2022-02-21 06:00:00
