Q.dat;Q.num_poste;poste_nivo.nom_usuel;poste_nivo.alti;poste_nivo.lat_dg;poste_nivo.lon_dg;poste_nivo.massif_nivo;Q.rr;hist_reseau_poste.reseau_poste
2022-01-27 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-28 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-29 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-30 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-31 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-02 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-03 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-04 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-05 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-07 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-08 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-09 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-10 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-11 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-13 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;11.0;51
2022-02-14 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;16.2;51
2022-02-15 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-16 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-17 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-18 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-19 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-20 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.1;51
2022-02-21 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;3.6;51
2022-02-22 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-23 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-24 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-25 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-26 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-02-27 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.5;51
2022-02-28 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-01 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-03 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-04 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-05 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-06 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-08 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-10 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-11 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-12 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;2.5;51
2022-03-13 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;19.0;51
2022-03-14 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;4.0;51
2022-03-15 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-16 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-17 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-18 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-19 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-20 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-21 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-23 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-24 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-25 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-26 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-27 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-03-28 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
