x,y,rr
6.15206,45.1925,265.80000000000007
6.1647300000000005,45.19154,234.00000000000006
6.1774,45.19057,237.40000000000003
6.1900699999999995,45.1896,226.49999999999994
6.20274,45.18862,223.7
6.2154,45.18765,297.8
6.22807,45.18667,311.0999999999999
6.24073,45.1857,293.49999999999994
6.2534,45.184709999999995,292.59999999999997
6.2660599999999995,45.18373,315.6
6.27873,45.18275,272.19999999999993
6.29139,45.18176,295.99999999999994
6.30405,45.18077,297.8999999999999
6.31672,45.17978,306.5999999999999
6.3293800000000005,45.17879,313.99999999999994
6.34204,45.1778,267.40000000000003
6.3547,45.1768,253.6
6.36736,45.1758,295.30000000000007
6.38002,45.1748,291.0
6.39268,45.1738,272.49999999999994
6.40533,45.1728,199.29999999999995
6.4179900000000005,45.17179,201.39999999999998
6.43065,45.17078,176.19999999999996
6.4433,45.16977,234.90000000000003
6.45596,45.16876,250.09999999999997
6.46861,45.16775,217.99999999999991
6.481269999999999,45.16673,239.79999999999995
6.49392,45.16571,194.09999999999994
6.0113199999999996,45.19404,250.6
6.024,45.1931,277.4
6.03667,45.19215,325.3
6.04934,45.1912,301.70000000000005
6.06201,45.19025,266.0
6.07468,45.1893,277.9
6.08735,45.18835,284.4
6.10002,45.18739,298.4
6.11269,45.18643,372.4000000000001
6.12536,45.18547,386.2
6.1380300000000005,45.184509999999996,364.5999999999999
6.1507,45.18354,236.7
6.16336,45.18258,238.20000000000002
6.17603,45.18161,239.19999999999996
6.18869,45.180640000000004,234.3
6.20136,45.17967,292.30000000000007
6.21402,45.17869,324.09999999999997
6.2266900000000005,45.17772,311.4999999999999
6.23935,45.17674,320.69999999999993
6.25201,45.17576,325.6999999999999
6.26467,45.17478,277.4
6.277340000000001,45.173790000000004,273.2
6.29,45.17281,282.59999999999997
6.3026599999999995,45.171820000000004,348.0
6.31532,45.17083,303.5
6.32797,45.16984,293.5
6.34063,45.16884,274.7000000000001
6.35329,45.16785,321.40000000000003
6.36595,45.16685,230.39999999999998
6.3786,45.16585,132.9
6.39126,45.16485,263.8999999999999
6.40391,45.16384,225.49999999999997
6.41657,45.16284,210.19999999999996
6.42922,45.16183,201.89999999999995
6.44187,45.16082,220.19999999999996
6.45453,45.15981,219.49999999999994
6.46718,45.15879,276.90000000000003
6.479830000000001,45.157779999999995,209.99999999999991
6.4924800000000005,45.15676,207.69999999999993
6.00999,45.18508,259.9
6.02266,45.18414,307.4
6.03533,45.18319,295.9
6.048,45.18224,254.20000000000002
6.06067,45.181290000000004,259.2
6.07334,45.18034,254.1
6.086,45.179390000000005,267.7000000000001
6.098669999999999,45.17843,281.7999999999999
6.11134,45.17747,345.0
6.124,45.17651,297.9
6.13667,45.17555,208.99999999999991
6.14933,45.17459,221.59999999999997
6.162,45.17362,235.70000000000002
6.17466,45.17265,249.8
6.18732,45.17168,295.7
6.19998,45.17071,362.9
6.21264,45.169740000000004,331.5
6.2253099999999995,45.16876,324.6000000000001
6.23797,45.16778,320.7
6.25063,45.1668,297.5
6.26328,45.165820000000004,278.4999999999999
6.27594,45.164840000000005,267.9
6.2886,45.16385,296.49999999999994
6.30126,45.162859999999995,305.3
6.31391,45.16187,310.3
6.326569999999999,45.16088,293.69999999999993
6.339230000000001,45.159890000000004,265.3
6.35188,45.15889,221.09999999999994
6.36453,45.1579,111.5
6.377190000000001,45.1569,135.99999999999997
6.38984,45.15589,170.39999999999998
6.40249,45.15489,198.0
6.41514,45.153890000000004,193.40000000000003
6.4278,45.152879999999996,168.79999999999995
6.44045,45.15187,196.49999999999997
6.4531,45.150859999999994,193.39999999999995
6.46574,45.149840000000005,234.49999999999997
6.47839,45.14883,227.79999999999995
6.49104,45.14781,204.59999999999994
6.00866,45.176120000000004,288.6
6.021319999999999,45.17518,308.4
6.03399,45.17423,296.69999999999993
6.04666,45.17328,274.7000000000001
6.05932,45.17233,238.29999999999998
6.07199,45.17138,236.0
6.08465,45.170429999999996,275.79999999999995
6.09732,45.169470000000004,342.59999999999997
6.10998,45.16852,319.29999999999995
6.1226400000000005,45.167559999999995,268.19999999999993
6.13531,45.16659,215.20000000000002
6.14797,45.16563,204.40000000000003
6.16063,45.16466,197.79999999999998
6.17329,45.1637,251.99999999999994
6.18595,45.162729999999996,285.19999999999993
6.1986099999999995,45.16175,328.90000000000003
6.21127,45.160779999999995,333.59999999999997
6.22392,45.15981,314.79999999999995
6.23658,45.15883,305.1
6.24924,45.15785,307.90000000000003
6.2619,45.15687,234.99999999999997
6.27455,45.155879999999996,241.1
6.28721,45.1549,251.89999999999995
6.29986,45.153909999999996,262.09999999999997
6.31251,45.15292,264.2
6.32517,45.15193,262.4
6.33782,45.150940000000006,195.49999999999997
6.35047,45.14994,113.60000000000001
6.363119999999999,45.14894,122.49999999999997
6.375769999999999,45.147940000000006,137.40000000000003
6.38842,45.14694,199.39999999999998
6.40107,45.14594,214.69999999999993
6.41372,45.14493,176.89999999999998
6.4263699999999995,45.14393,195.09999999999994
6.439019999999999,45.142920000000004,222.69999999999996
6.45167,45.141909999999996,199.39999999999998
6.46431,45.14089,235.59999999999997
6.47696,45.13988,187.79999999999998
6.4896,45.13886,181.80000000000004
6.00732,45.167159999999996,290.3
6.01999,45.16622,275.5
6.03265,45.16527,304.70000000000005
6.045319999999999,45.16433,266.7
6.057980000000001,45.16338,243.39999999999998
6.07064,45.162420000000004,266.5
6.0833,45.16147,321.4
6.09596,45.16052,317.4
6.108619999999999,45.15956,310.7
6.12129,45.1586,199.10000000000002
6.13394,45.15764,222.50000000000003
6.1466,45.15667,197.1
6.15926,45.15571,202.30000000000004
6.17192,45.154740000000004,269.3
6.18458,45.15377,355.70000000000005
6.19723,45.1528,339.49999999999994
6.209890000000001,45.15183,311.0
6.22254,45.15085,306.4
6.2352,45.14987,285.4
6.24785,45.14889,285.2
6.26051,45.147909999999996,288.4000000000001
6.27316,45.14693,248.8000000000001
6.28581,45.14594,268.90000000000003
6.2984599999999995,45.14496,277.90000000000003
6.31111,45.14397,262.09999999999997
6.32377,45.14298,250.89999999999995
6.3364199999999995,45.14198,155.89999999999998
6.34906,45.14099,111.39999999999999
6.3617099999999995,45.139990000000004,126.2
6.37436,45.13899,246.99999999999994
6.38701,45.13799,279.59999999999997
6.39965,45.136990000000004,185.09999999999997
6.4123,45.135979999999996,169.1
6.42495,45.13498,205.89999999999992
6.43759,45.13397,253.60000000000002
6.45024,45.13296,207.00000000000003
6.46288,45.13194,243.10000000000002
6.4755199999999995,45.13093,215.9
6.48816,45.129909999999995,215.90000000000003
6.00599,45.1582,251.29999999999998
6.01865,45.15726,310.99999999999994
6.0313099999999995,45.15632,303.09999999999997
6.04397,45.15537,286.4
6.05663,45.15442,291.9
6.0692900000000005,45.15347,326.59999999999997
6.08195,45.15251,329.59999999999997
6.094609999999999,45.151559999999996,308.50000000000006
6.10727,45.1506,238.00000000000009
6.11993,45.149640000000005,150.5
6.13258,45.14868,209.19999999999996
6.14524,45.14772,199.39999999999995
6.1579,45.14675,202.40000000000003
6.17055,45.14578,320.1
6.18321,45.14482,341.1
6.19586,45.143840000000004,329.0
6.2085099999999995,45.14287,317.1000000000001
6.22117,45.1419,295.0999999999999
6.23382,45.14092,311.79999999999995
6.2464699999999995,45.13994,301.4999999999999
6.259119999999999,45.13896,209.29999999999998
6.27177,45.13798,207.90000000000003
6.28442,45.136990000000004,213.1
6.29707,45.136,244.09999999999988
6.3097199999999996,45.13501,252.5999999999999
6.32236,45.13402,187.09999999999997
6.33501,45.13303,127.79999999999998
6.347659999999999,45.13204,104.69999999999999
6.3603,45.131040000000006,140.0
6.37295,45.13004,167.19999999999996
6.3855900000000005,45.12904,200.7
6.39824,45.128040000000006,233.59999999999988
6.410880000000001,45.12703,220.2
6.42352,45.12603,268.79999999999995
6.43616,45.12502,182.8
6.44881,45.12401,208.7
