num_poste;lons;lats;rr_radar;rr_nivometeo;freq_error;biais;nb_days;rmse;ratio
73144404;6.922333000000001;45.274167;12.416666666666666;14.883333333333335;33.33333333333333;-2.4666666666666686;72;5.04870548589768;0.8342665173572227
73150400;6.678667000000001;45.506833000000015;18.07421875;17.69375;62.5;0.3804687499999986;72;4.5932897303430575;1.0215030024726244
73157400;6.664833000000001;45.155833;13.119791666666666;14.733333333333334;33.33333333333333;-1.6135416666666682;72;4.13099706109191;0.8904835972850678
73173400;6.403999999999998;45.227667;18.41015625;19.9;62.5;-1.4898437499999986;72;2.840459119194026;0.9251334798994976
73176400;6.8483329999999984;45.62983299999999;15.375;19.742105263157896;42.10526315789473;-4.367105263157896;72;8.005372373731609;0.778792322047454
73194401;6.570999999999999;45.24783300000001;6.645833333333333;17.11111111111111;0.0;-10.465277777777779;72;10.74702558979822;0.38839285714285715
73206400;6.72;45.381667;11.46875;20.033333333333335;0.0;-8.564583333333335;72;9.953371759107563;0.5724833610648918
73227400;6.632166999999999;45.413333;15.2375;18.566666666666663;40.0;-3.329166666666662;72;4.6159178845238;0.8206912028725316
73232400;6.895167;45.577833;16.546316964285715;17.74285714285714;57.14285714285714;-1.196540178571425;72;5.809992746311571;0.9325621477455719
73235400;6.363500000000001;45.417832999999995;24.3125;18.79;40.0;5.522500000000001;72;9.364138708391712;1.2939063331559342
73257400;6.541666999999999;45.323333;22.01875;14.52;20.0;7.498750000000001;72;11.219673708490813;1.5164428374655647
73296400;6.908333000000001;45.46833300000001;19.26875;19.419999999999998;50.0;-0.15124999999999744;72;4.6693900163725885;0.9922116374871268
73304404;6.978167;45.44500000000001;19.191964285714285;17.74285714285714;42.857142857142854;1.4491071428571445;72;3.894325370238819;1.0816727053140098
73306403;6.463499999999999;45.160833000000004;17.075;16.06;60.0;1.0150000000000006;72;5.924409253250487;1.0632004981320051
73307400;6.493833;45.175999999999995;16.24375;17.39;20.0;-1.146250000000002;72;7.666614922832632;0.9340856814261068
73318400;6.266666999999999;45.243333;20.865234375;21.650000000000002;37.5;-0.7847656250000021;72;5.267178113867342;0.9637521651270207
73322401;6.6988330000000005;45.18849999999998;17.027083079020183;16.641666666666666;66.66666666666666;0.38541641235351776;72;10.405312164478064;1.0231597243277026
74014400;6.697333;46.00350000000002;19.81171875;21.474999999999998;85.0;-1.6632812499999972;72;3.8793919792805487;0.9225480209545985
74014402;6.665667000000002;46.02766699999998;15.935369318181818;19.040909090909096;36.36363636363637;-3.105539772727278;72;5.924522487770351;0.836901706851277
74033400;6.708167000000002;46.34116699999999;10.769886363636363;16.154545454545453;18.181818181818183;-5.384659090909089;72;6.344308081139274;0.6666783905458639
74056402;6.947333;46.00233300000001;22.38888888888889;22.833333333333332;77.77777777777779;-0.44444444444444287;72;3.946213902801858;0.9805352798053528
74056416;6.942833;45.96833300000001;13.880208333333334;22.05;25.0;-8.169791666666667;72;11.049984092183118;0.6294879062736206
74063405;6.797167;46.22516700000002;13.06875;23.695;15.0;-10.62625;72;14.153817809826084;0.5515404093690652
74134400;6.659166999999997;46.16583300000001;16.17548076923077;25.0;0.0;-8.82451923076923;72;9.634096756442712;0.6470192307692308
74136400;6.4541670000000035;45.97199999999999;21.451939549939386;22.437931034482766;58.620689655172406;-0.9859914845433799;72;5.188165486483027;0.9560569339914584
74191406;6.779832999999997;46.186167;17.341517857142858;22.349999999999998;28.57142857142857;-5.00848214285714;72;8.651069072302567;0.7759068392457655
74270400;6.276333;45.71300000000001;19.125;27.725;25.0;-8.600000000000001;72;10.10027846150788;0.6898106402164111
74286400;6.673333000000002;46.315333;14.815340909090908;21.904545454545453;9.090909090909092;-7.089204545454544;72;7.989277704438392;0.6763592031541814
